crew_id,name,assigned_flight,base,duty_start,duty_end,rest_hours_prior,last_flight_end,fatigue_score,role
DL7016_C0,Crew_0,DL7016,ORD,2025-06-25 03:56:00,2025-06-25 07:36:00,10,2025-06-24 17:56:00,1.4000000000000001,Pilot
DL7016_C1,Crew_1,DL7016,ORD,2025-06-25 03:56:00,2025-06-25 07:36:00,10,2025-06-24 17:56:00,1.4000000000000001,Attendant
DL7016_C2,Crew_2,DL7016,ORD,2025-06-25 03:56:00,2025-06-25 07:36:00,10,2025-06-24 17:56:00,1.4000000000000001,Attendant
DL7016_C3,Crew_3,DL7016,ORD,2025-06-25 03:56:00,2025-06-25 07:36:00,10,2025-06-24 17:56:00,1.4000000000000001,Attendant
DL7016_C4,Crew_4,DL7016,ORD,2025-06-25 03:56:00,2025-06-25 07:36:00,10,2025-06-24 17:56:00,1.4000000000000001,Attendant
DL7016_C5,Crew_5,DL7016,ORD,2025-06-25 03:56:00,2025-06-25 07:36:00,10,2025-06-24 17:56:00,1.4000000000000001,Attendant
DL1335_C0,Crew_0,DL1335,ORD,2025-06-30 21:14:00,2025-07-01 00:12:00,10,2025-06-30 11:14:00,1.4000000000000001,Pilot
DL1335_C1,Crew_1,DL1335,ORD,2025-06-30 21:14:00,2025-07-01 00:12:00,10,2025-06-30 11:14:00,1.4000000000000001,Attendant
DL1335_C2,Crew_2,DL1335,ORD,2025-06-30 21:14:00,2025-07-01 00:12:00,10,2025-06-30 11:14:00,1.4000000000000001,Attendant
DL1335_C3,Crew_3,DL1335,ORD,2025-06-30 21:14:00,2025-07-01 00:12:00,10,2025-06-30 11:14:00,1.4000000000000001,Attendant
DL1335_C4,Crew_4,DL1335,ORD,2025-06-30 21:14:00,2025-07-01 00:12:00,10,2025-06-30 11:14:00,1.4000000000000001,Attendant
DL6154_C0,Crew_0,DL6154,ORD,2025-06-21 08:08:00,2025-06-21 12:53:00,10,2025-06-20 22:08:00,1.4000000000000001,Pilot
DL6154_C1,Crew_1,DL6154,ORD,2025-06-21 08:08:00,2025-06-21 12:53:00,10,2025-06-20 22:08:00,1.4000000000000001,Attendant
DL6154_C2,Crew_2,DL6154,ORD,2025-06-21 08:08:00,2025-06-21 12:53:00,10,2025-06-20 22:08:00,1.4000000000000001,Attendant
DL6154_C3,Crew_3,DL6154,ORD,2025-06-21 08:08:00,2025-06-21 12:53:00,10,2025-06-20 22:08:00,1.4000000000000001,Attendant
